GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US04007,"Gila County, Arizona",53400,3039,2967,3108,2573,2758,2682,2506,2145,2367,2698,3262,4023,4489,4870,3782,2755,1991,1385
0500000US04009,"Graham County, Arizona",37879,2819,2781,2965,2957,2826,3007,2715,2449,2302,2190,1971,1814,2071,1596,1286,962,600,568
0500000US04011,"Greenlee County, Arizona",9504,697,739,756,717,640,688,694,630,673,443,592,537,543,200,328,263,266,98
0500000US04012,"La Paz County, Arizona",20701,961,1026,880,1015,909,908,860,760,840,951,1018,1236,1490,1606,2277,1944,1414,606
0500000US04013,"Maricopa County, Arizona",4253913,279161,288352,298170,288250,288489,318020,297980,281186,276043,274317,267522,251853,229293,201752,156980,111018,72560,72967
0500000US04015,"Mohave County, Arizona",206064,9137,10058,11164,10146,9671,10750,9978,9508,9462,10695,13172,16181,16805,18959,15327,11876,7493,5682
0500000US04017,"Navajo County, Arizona",108705,7889,8221,8522,7903,6517,7187,6139,6139,5475,5833,6545,7120,6864,5999,5185,3504,1889,1774
0500000US04019,"Pima County, Arizona",1019722,59040,60138,61751,68894,91472,66403,61401,60129,55793,56432,59915,63608,64494,60592,47662,35822,23500,22676
0500000US04021,"Pinal County, Arizona",419721,24845,28352,28755,25465,24054,26767,28738,28610,26630,23828,23183,23737,25850,27128,22997,15993,8725,6064
0500000US04023,"Santa Cruz County, Arizona",46584,3342,3836,3350,3793,3035,2563,2361,2700,2504,2660,2840,2784,2925,2445,2199,1405,991,851
0500000US04025,"Yavapai County, Arizona",224645,9547,10236,11144,11708,10197,10463,10104,9190,10579,11207,14211,17332,21877,21705,18362,12266,7337,7180
0500000US04027,"Yuma County, Arizona",207829,15212,14670,14650,14852,17626,15363,13367,10659,11949,10918,10916,9951,10267,9855,9200,9039,5872,3463
0500000US05001,"Arkansas County, Arkansas",18124,1207,1313,878,1238,1010,1049,989,1144,1027,1094,1190,1218,1425,1078,799,650,434,381
0500000US05003,"Ashley County, Arkansas",20537,1247,1707,1051,1350,1250,1085,887,1428,1008,1321,1434,1507,1282,1303,1057,767,406,447
0500000US05005,"Baxter County, Arkansas",41219,1721,2076,2139,1969,1668,1968,1978,1942,1880,2175,2598,2944,3511,3638,3197,2548,1842,1425
0500000US05007,"Benton County, Arkansas",258980,18379,18906,20702,17318,14837,18421,19812,19588,17111,16899,15812,14756,12514,11461,8257,6041,4213,3953
0500000US05009,"Boone County, Arkansas",37288,2288,2344,2425,2178,2102,2237,2051,2087,2249,2178,2668,2630,2360,2241,2025,1388,847,990
0500000US05011,"Bradley County, Arkansas",10948,682,864,641,737,530,632,553,797,650,654,776,662,756,584,532,433,234,231
0500000US05013,"Calhoun County, Arkansas",5202,305,282,260,326,279,317,287,278,255,299,454,321,457,335,252,203,189,103
0500000US05015,"Carroll County, Arkansas",27887,1557,1594,1892,1733,1465,1420,1463,1423,1449,1607,1905,2248,2029,2164,1635,1019,710,574
